energy	Vertical integral of temperature	 Vertical integral of water vapour	Convective available potential energy	Vertical integral of divergence of kinetic energy	Leaf area index, low vegetation	Leaf area index, high vegetation	Neutral wind at 10 m u-component	Neutral wind at 10 m v-component	Surface pressure	Soil temperature level 1	10 metre U wind component	10 metre V wind component	2 metre temperature	Soil temperature level 2	Soil temperature level 3	Instantaneous eastward turbulent surface stress	Instantaneous northward turbulent surface	Soil temperature level 2	Forecast surface roughness	Forecast logarithm of surface roughness for heat	100 metre U wind component	100 metre V wind component
402.71	2510823.97972014	9.18629486931585	13.52757742208	1386936.81940146	2.3441111084532	2.4329833845397904	-0.757587299559682	-1.9227985033080104	99846.3199137267	280.960660890121	-0.906454192013662	-2.70951125184964	280.47309831457994	281.042026296888	281.462477960826	-0.0579582004827403	-0.138649739897941	284.68475480418897	0.4047310624365479	-5.92709160607808	-1.78056187670665	-4.44361684216596
696.8	2513173.48180306	8.84956868478912	6.896412019099669	1153526.35969891	2.34371881502594	2.43283813905223	-1.41261956102835	-1.40301072380852	99917.73309344152	279.296650773826	-1.65384341094651	-1.64183712743431	278.286615814772	280.747406464091	281.486541409845	-0.103575660466671	-0.0830504186891993	284.667947927468	0.404919626720239	-5.91388100145639	-3.74334365794433	-3.1294689550285297
1591.15	2509626.6373125	7.924079815446019	4.77443909014596	1098753.65979938	2.3433003687035296	2.43270406629449	-2.29018535602081	-0.75457981493458	99764.37868087448	278.233955708696	-2.58035593185785	-0.7936815343015121	277.206489962428	280.114863096039	281.487094592581	-0.1657211856621709	-0.0362406960538984	284.65191378071097	0.4057036571629529	-5.9082722886170105	-5.09720273306243	-1.15774820712907
1338.62	2510570.9564189	6.922708989026471	0.0	1076021.19938356	2.34282961659081	2.4325141298877	-3.49785488097461	1.27102794651292	99672.6704589672	280.787263126631	-3.36526173559933	1.22755882505106	280.926599616859	279.991138231872	281.472435250075	-0.275550178993049	0.0981924666236103	284.636265998936	0.403966880865802	-5.96199541407856	-4.50083513428552	1.50247826751664
562.5	2505664.11168419	6.64628185967656	0.0	1070830.3225957	2.34243732316355	2.43236888440014	-0.971249064305107	0.55306021095008	99372.8112105733	279.583111991287	-2.2427066685801096	1.3207933201124098	277.36387473314204	280.576898135661	281.473265024179	-0.0565533149397568	0.0418436447613195	284.620231852178	0.403808089890062	-5.987860387337871	-3.39232378182213	2.13111393106758
232.3	2505768.03196863	6.12594843972377	0.0	1094099.77026543	2.34204502973629	2.4322348116424	-0.153567708566563	1.5540428311367198	99257.76369014473	276.62013968183203	-0.243661193727743	2.38150964638883	274.850964560742	279.654761257419	281.46469069177004	0.0033609214521815	0.144388961451462	284.603424975457	0.404757527599172	-5.95754552620599	0.190589976092805	5.34962874500973
329.95	2503477.26743778	7.03856447706283	0.0	1264503.7255084	2.3416527363090296	2.43208956615485	1.24780210138137	1.67677533024261	99277.5513562823	276.140000260708	1.64761605221354	2.38707588489996	275.490995961645	278.712132448549	281.416010610995	0.115503843912679	0.144388961451462	284.58565218628	0.406001390242465	-5.957197878715941	4.10516781964332	4.612229133320611
960.51	2504995.4072452	7.938307682397849	0.0	1247857.12063698	2.34120813709146	2.4319443206673	2.58263364549162	2.2435004677571	99412.8939189035	279.728624149537	2.5344051303863195	2.21034781217171	281.785220977088	278.574101896963	281.349352091298	0.177566728782121	0.201827966082551	284.567493032122	0.405071801405323	-5.981510026519719	3.3874341832205896	3.80997028650322
194.62	2503739.32728549	8.44712330529439	0.0	1525479.53091203	2.3408158436642004	2.43181024790956	1.16906515347345	2.0143766238172	99373.57227465553	280.108882402804	1.52145734055313	2.8073268924899604	280.623488206595	279.538769197262	281.309799525669	0.0853401249015649	0.1265372186123809	284.550879337891	0.4054125403740971	-5.99520733762748	3.28071577080788	4.54537422941916
358.51	2505664.11168419	8.41799005391682	0.0	1620168.28335271	2.34039739734179	2.43166500242201	0.808279889820278	1.97717442153864	99518.9355143592	278.271474523019	1.04293697941551	2.95691955247646	277.964268488087	279.519437187236	281.28850199033	0.0633577981701778	0.111138387003097	284.535038373625	0.4071393922352639	-5.96517059448763	3.13633203636715	4.32185932682327
808.8	2500987.69888453	8.8746368313233	0.227354242387946	1857516.64958399	2.340005103914529	2.43151975693446	0.8515297626147671	2.31512339924667	99417.9676794516	276.944119713616	1.04514383734543	3.0727668914892696	276.24061379549	278.992446593926	281.255587617534	0.0802990650120363	0.175527306785279	284.517265584448	0.411016538559571	-5.90595463868338	2.8894149252946097	5.673426003457791
93.36	2500978.66233806	10.3970185951695	0.0	1933589.84388888	2.33961281048726	2.4313856841767203	2.16196394258454	3.65127352407377	99570.1804958952	280.567220350741	2.09524040233228	3.5243279907043497	283.049545301824	278.95842225628	281.210503224544	0.222440425831532	0.312685926384785	284.499299612781	0.4082641616467529	-5.957197878715941	3.14051707214804	5.09168855607652
155.94	2502984.77565501	14.2846138603897	0.0	1705191.26522289	2.33922051706	2.4312404386891697	1.6392688987263602	1.8864288627096295	99594.91507856733	281.139128763654	2.2202956850277404	2.6052028565547003	282.039368236463	280.11602301664	281.197503430246	0.124759560431158	0.103711516890654	284.48287910104096	0.406649786726734	-5.99284333469517	3.9654922504561	3.8653500949589
0.01	2510078.46463614	16.5990135512213	0.3031389898505949	1400182.50499808	2.33874976494729	2.43105050228237	0.4182917206050139	2.07278755823587	99712.49947927	280.077447720534	0.438257906617481	2.53179808618923	280.376918732477	280.312436238505	281.207184128127	0.0368302535056093	0.124970080882232	284.465299494356	0.4104673864351379	-5.91935065529976	2.0157887060337	4.9275447994826695
4.85	2519060.79183007	14.546135605313802	0.0	1099111.65130199	2.3378867194073103	2.43078235676689	-0.319913373160751	2.80813950047093	99769.32559740893	282.179515344592	-0.2833846364663	2.60833386571721	284.299879869162	280.225442193388	281.223226427473	-0.0294472879927833	0.156517244754349	284.430913010949	0.4092599133904529	-5.94366280310354	-0.5109266466789771	3.88031761075773
